Video,Taxonomy,Title,Question,Answer
./assets/samples/zn3MNXMIdDk.mp4,Element Attributes,Unclear & Unusual,"After solving the Rubik's Cube, which color is facing up?","The color of the magic side facing up is white, which can be determined by looking at the top face of the cube in the image. This takes place in a stadium, where a man is solving a Rubik's Cube. After he completes the puzzle, a crowd of people cheers."
./assets/samples/in6fY_vrM7I.mp4,Element Attributes,Spatial-temporal,"In the first scene of the video, which person is mimicking the action of the another person?","In the first scene of the video, the person on the screen with blue t-shirt and white shorts is imitating the movements of the person in the black shirt in the foreground. The person on the screen is following the movements and postures of the person in the foreground, such as sitting down and making a meditation posture."
./assets/samples/Dw9pFvOP11A.mp4,Element Attributes,Complex Plot,Who is the security guard chasing in the video?,"The security guard is chasing the woman in pink coat. In the video, the security guard is chasing the woman in the pink jacket, and the man with the coffee stops them to buy time for the woman, and the woman successfully walks into the elevator to avoid the pursuit of the security guard. The security guard is not chasing the man holding the cup."
./assets/samples/8Nf_U7VQfq8.mp4,Element Attributes,World Knowledge,"In the first physics experiment of the video, what item does the colander scoop for the second time?","In the first physics experiment of the video, the second scoop was a yellow grain, possibly yellow millet. The experiment is as follows: the colander first scooped white rice, and then the rice all leaked out of the colander. The second scoop was a yellow grain, possibly millet, and all the millet leaked out of the colander. The yellow grain is comparatively more coarse than the white flour. The third scoop was white flour, due to it being very fine with great friction between the powder, it did not leak out of the colander."
./assets/samples/eFW0FRHH1u8.mp4,Element Attributes (Illusion),Illusion,What's in the middle of the road?,"In the middle of the road, there is a chalk drawing that depicts a young boy who appears to be picking something up. It is a longly stretched drawing that becomes compressed into a normal length when viewed from far away. This is a common technique for road writing or drawings to be viewed by incoming traffic. The young boy in the drawing is reaching to pick up a pink ball. This drawing is in the middle of the road. There is no real person in the middle of the road, just road paintings like crosswalk lines, solid yellow lines, and a drawing of a young boy right in the middle. It can be seen in the video that it is a drawing, possibly by chalk, on the ground when coming close and walking over it."
./assets/samples/--XugglC6EU.mp4,Element Attributes (Illusion),Illusion,What's in the large plate at first?,"At first, there is nothing placed on the large plate, and a colorful graphic design of various fruits and vegetables is visible. This design is part of the plate itself and not actual food."
./assets/samples/7pTwqG9VM7o.mp4,Element Attributes (Illusion),Illusion,What is the man in the video standing?,"The man in the video is standing on the ground of a room, although it is made to look like a white ceiling, it is actually the ground. He uses a filming technique and a stunt room where the camera is turned upside down. The room is decorated upside down, which creates the illusion of the man standing on the ceiling when the ceiling is actually the ground."
./assets/samples/wzf8uN_7hNc.mp4,Element Attributes (Illusion),Illusion,Which one is a real cat in the video?,"The real cat in the video is the one at the bottom of the frame. At the end of the video, it can be seen that the cat at the bottom has a glossy shine on its fur from the light. In contrast, the shadow above is darker and moves in sync with the object casting it, which is quite evident in the video. The real cat in the video is not the one at the top. At the beginning of the video, it is difficult to tell which one is real, but as the video progresses, it becomes increasingly clear that the cat at the bottom is the real one because its fur has a glossy shine, while the one above is just a silhouette."
./assets/samples/YRgXg-FY49o.mp4,Element Localization,Unclear & Unusual,Where are the last few targets come from?,"The last few targets are bullet casings. In the latter half of the video, it can be seen that the man is aiming his gun at the bullet casings from the last firing, which are unloaded next. He intentionally throws the casings into the air with each unloading. At this moment, neither the man nor the woman is throwing any other objects into the air."
./assets/samples/uQZwh0v40s8.mp4,Element Localization,Spatial-temporal,Where is the yellow target which has a gap?,"The yellow target with a gap is positioned close to the net on the side that is near the man. It is placed in the middle of the net, and the player is attempting to hit the ball through the gap in the target."
./assets/samples/rqWN_VIZIGk.mp4,Element Localization,Complex Plot,Which side has more Coke in the cup?,"The cup on the left side has more Coke. At the beginning of the video, it seems that there is more Coke in the cup on the right. However, when the cup on the left is picked up, it is revealed that most of the volume of the cup is hidden under the table and not exposed. Thus, the cup on the left side has more Coke."
